prop,cu_high,cu_low
0.9450000000000001,2100.862516985413,1820.3506653924694
0.9460000000000001,2102.4039193053914,1821.4882038702744
0.9470000000000001,2103.9680861886054,1822.6425423530334
0.9480000000000001,2105.555836220585,1823.814284948139
0.9490000000000001,2107.1680338587144,1825.004069615924
0.9500000000000001,2108.8055929677025,1826.2125707788007
0.9510000000000001,2110.469480704734,1827.4405021884588
0.9520000000000001,2112.1607217968185,1828.6886200825063
0.9530000000000001,2113.880403259057,1829.957726666498
0.9540000000000001,2115.6296796097536,1831.2486739626327
0.9550000000000001,2117.4097786467905,1832.5623680726571
0.9560000000000001,2119.2220078596824,1833.8997739098925
0.9570000000000001,2121.0677615635186,1835.2619204640087
0.9580000000000001,2122.9485288550172,1836.6499066725069
0.9590000000000001,2124.865902507572,1838.0649079851698
0.9600000000000001,2126.821588942105,1839.5081837224438
0.961,2128.81741943443,1840.9810853463553
0.962,2130.855362748677,1842.4850657838406
0.963,2132.9375394211784,1844.021689968104
0.964,2135.0662379617065,1845.5926467949578
0.965,2137.2439332908307,1847.199762729395
0.966,2139.4733077959627,1848.8450173447254
0.967,2141.757275467509,1850.5305611348006
0.968,2144.0990096745936,1852.2587360121997
0.969,2146.5019752624494,1854.0320989957627
0.97,2148.969965808023,1855.8534497048295
0.971,2151.5071470661856,1857.7258624220792
0.972,2154.118107889119,1859.6527236714971
0.973,2156.8079202236117,1861.6377764957354
0.974,2159.582210209263,1863.6851729258328
0.975,2162.44724294867,1865.7995365407085
0.976,2165.4100242456616,1867.9860375488925
0.977,2168.478423576721,1870.250483540125
0.978,2171.6613238706004,1872.5994300211164
0.979,2174.968805463059,1875.040316172181
0.98,2178.4123740773452,1877.581633094403
0.981,2182.0052461728155,1880.233134393874
0.982,2185.7627099899537,1883.0061026290682
0.983,2189.7025878615786,1885.9136904915867
0.984,2193.8458360769228,1888.9713634994473
0.985,2198.217334778444,1892.197482932514
0.986,2202.8469454121123,1895.614086219531
0.987,2207.7709529927215,1899.2479513145477
0.988,2213.0340753921405,1903.1320795302245
0.989,2218.6923316001316,1907.3078122837346
0.99,2224.8172536003885,1911.827939416374
0.991,2231.502280308936,1916.7614178519295
0.992,2238.872856795953,1922.2008247147048
0.993,2247.1031738377287,1928.27471094039
0.994,2256.445627937307,1935.169342457195
0.995,2267.286804969104,1943.1700155186838
0.996,2280.2653261455853,1952.7480257707145
0.997,2296.558433680883,1964.7721654156317
0.998,2318.7532525006623,1981.1517050648051
0.999,2354.8543036283177,2007.793895889779
